State,TempMedian,TempMean,PrcpMedian,PrcpMean
AK,61.0,41.079323901473614,0,24.460244443850126
AL,256.0,243.58290812127598,0,50.484610066826875
AR,233.0,222.1716110109682,0,45.11536463902722
AZ,251.0,252.18640104751216,0,6.391203703703703
CA,228.0,231.41580126449944,0,8.294737890177727
CO,161.0,153.56301760464007,0,10.97047403096626
CT,178.0,171.98469311933422,0,27.994947243275377
DE,200.0,196.00409836065575,0,35.278688524590166
FL,300.0,289.6476188301904,0,43.885370531025984
GA,256.0,244.4622850703406,0,45.22276345923152
HI,289.0,269.4029176797499,0,31.260854463355333
IA,167.0,159.4152841096019,0,21.290947971988533
ID,133.0,138.32460956148128,0,17.852690445338606
IL,183.0,175.77931629133698,0,29.319537431527692
IN,189.0,180.56320767743716,0,29.574254349627175
KS,222.0,206.20683704495028,0,20.105616731037884
KY,211.0,194.47717807762785,0,38.10742961852407
LA,272.0,263.4371541501976,0,45.45090909090909
MA,178.0,164.43269665786508,0,20.906555125073005
MD,206.0,202.87253366739742,0,33.58502975258378
ME,129.0,132.2595785440613,0,26.896312260536398
MI,139.0,143.85587916214638,0,24.09079529333222
MN,133.0,126.7171335280976,0,17.002749613335624
MO,211.0,198.9657914668013,0,31.218631658672052
MS,267.0,255.12824565364642,0,45.76631293745766
MT,95.0,104.763604790725,0,21.862994458489748
NC,228.0,219.6688906306754,0,48.28859278518037
ND,152.5,134.9594707057257,0,9.650798934753661
NE,200.0,188.03589156166476,0,11.698230876925034
NH,146.0,145.58795884669124,0,28.72024641178712
NJ,194.0,189.22429403854773,0,34.36360376512774
NM,221.0,212.62987564518588,0,7.492192434174706
NV,161.0,164.81851075341538,0,7.601988367374544
NY,156.0,155.20594723995495,0,26.61678558017274
OH,183.0,177.78039814324433,0,29.714882083554006
OK,261.0,243.77315051382502,0,25.179100664282064
OR,156.0,159.35337310692978,0,27.51115764111978
PA,178.0,172.34785359452619,0,29.644624613365828
RI,178.0,174.87864873729092,0,29.575270580518204
SC,250.0,239.64584594430994,0,45.04721549636804
SD,172.0,156.707064933774,0,11.824109738823587
TN,222.0,214.42259564675425,0,47.60262249496596
TX,211.0,193.61633398865294,0,23.106524857866493
UT,132.0,136.77482919513415,0,11.082402932844525
VA,217.0,217.18377371273712,0,40.15735094850948
VT,150.0,147.91562799616491,0,24.73058485139022
WA,111.0,122.03874455198958,0,45.63788419086433
WI,150.0,145.63173834039975,0,24.886886735311933
WV,193.0,187.00704567541302,0,32.42565597667638
WY,101.0,107.43593378085636,0,15.994437164023427
