,admin2,state,fips,cases,deaths,pop_not_stay_at_home,pop_stay_at_home,trips,tempmedian,tempmean,prcpmedian,prcpmean,population,pop_density,administered_dose1_pop_pct,administered_dose1_recip,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,completeness_pct,mmwr_week,series_complete_12plus,series_complete_12pluspop,series_complete_12pluspop_pct_svi,series_complete_18plus,series_complete_18pluspop,series_complete_18pluspop_pct_svi,series_complete_65plus,series_complete_65pluspop,series_complete_65pluspop_pct_svi,series_complete_pop_pct,series_complete_pop_pct_svi,series_complete_yes,svi_ctgy
70,Apache,AZ,4001,12408,452,58705.063829787236,13181.936170212766,261097.7031914893,194.0,188.5411721745481,0.0,7.165053861603067,71818,6.4137685289999995,78.7,56565.0,56543.0,95.3,47392.0,90.3,10871.0,95.9,97.5,35,48697.0,82.0,High VC/High SVI,41180,78.5,High VC/High SVI,9829,86.7,High VC/High SVI,67.8,High VC/High SVI,48706,High
71,Cochise,AZ,4003,13111,306,95467.36382978725,30454.636170212765,427870.23723404255,278.0,266.33773500447626,0.0,7.184198746642793,126770,20.56427823,58.3,73371.0,73366.0,67.9,69221.0,70.0,23345.0,80.2,97.5,35,62968.0,58.3,High VC/High SVI,59848,60.5,High VC/High SVI,20639,70.9,High VC/High SVI,50.0,High VC/High SVI,62971,High
72,Coconino,AZ,4005,19845,341,112430.87553191488,31045.124468085098,514126.2872340426,189.0,187.30844814696144,0.0,6.822599594147174,142854,7.6726192992,73.9,106099.0,106083.0,85.2,97453.0,84.9,22432.0,99.9,97.5,35,91931.0,73.8,High VC/Mod-High SVI,84846,74.0,High VC/Mod-High SVI,19931,99.9,High VC/Mod-High SVI,64.1,High VC/Mod-High SVI,91939,Mod-High
73,Gila,AZ,4007,8189,248,40772.5,13245.5,179670.71914893613,233.0,234.7800916284881,0.0,7.279050395668473,53889,11.325986655,57.0,30808.0,30803.0,65.7,29388.0,67.8,11970.0,75.4,97.5,35,26170.0,55.8,High VC/High SVI,25187,58.1,High VC/High SVI,10554,66.5,Mod-High VC/High SVI,48.5,Mod-High VC/High SVI,26172,High
74,Graham,AZ,4009,6251,89,31352.679787234043,7484.320212765958,144026.84148936172,283.0,276.53706754530475,0.0,3.5,38072,8.2358796196,56.7,22030.0,22026.0,69.0,20647.0,72.5,5394.0,99.2,97.5,35,18860.0,59.1,High VC/High SVI,18006,63.2,High VC/High SVI,4946,90.9,High VC/High SVI,48.6,Mod-High VC/High SVI,18861,High
75,Greenlee,AZ,4011,721,12,7210.900958466454,2287.0990415335464,35120.24494142705,207.0,206.5087719298245,0.0,8.300092336103415,9483,5.1482697863,39.9,3792.0,3792.0,48.9,3637.0,52.5,943.0,72.7,97.5,35,3164.0,40.8,Mod-High VC/Mod-High SVI,3118,45.0,Mod-High VC/Mod-High SVI,859,66.2,Mod-High VC/Mod-High SVI,33.3,Low-Mod VC/Mod-High SVI,3164,Mod-High
76,La Paz,AZ,4012,2682,81,15684.11170212766,5423.88829787234,67954.23085106382,333.0,320.0281973816717,0.0,2.7230614300100706,21098,4.6888309769,45.9,9692.0,9690.0,51.5,9257.0,52.6,4921.0,58.6,97.5,35,8161.0,43.4,Mod-High VC/High SVI,7854,44.6,Mod-High VC/High SVI,4436,52.9,Mod-High VC/High SVI,38.7,Low-Mod VC/High SVI,8162,High
77,Maricopa,AZ,4013,640037,10780,3486910.6117021283,998503.3882978724,14599315.677659575,328.0,313.5491511213582,0.0,4.227625235799623,4410824,479.47643039999997,53.3,2391837.0,2391563.0,63.0,2232699.0,65.0,604482.0,86.8,97.5,35,2007676.0,52.9,High VC/Mod-High SVI,1886424,55.0,High VC/Mod-High SVI,515948,74.1,High VC/Mod-High SVI,44.8,Mod-High VC/Mod-High SVI,2007727,Mod-High
78,Mohave,AZ,4015,28339,844,159802.54255319148,52378.45744680851,624635.9787234042,261.0,273.5983727810651,0.0,3.812869822485207,209550,15.742539574,40.9,86736.0,86729.0,45.8,84805.0,48.0,43133.0,65.4,97.5,35,69397.0,36.6,Low-Mod VC/High SVI,68213,38.6,Low-Mod VC/High SVI,35846,54.4,Mod-High VC/High SVI,32.7,Low-Mod VC/High SVI,69400,High
79,Navajo,AZ,4017,18538,571,86378.20957446807,24545.790425531915,366919.9021276596,206.0,200.10971223021585,0.0,7.181654676258992,110445,11.100123355,67.4,74761.0,74748.0,81.4,65399.0,79.9,19651.0,94.3,97.5,35,63220.0,68.8,High VC/High SVI,55788,68.2,High VC/High SVI,16743,80.4,High VC/High SVI,57.0,High VC/High SVI,63223,High
