,admin2,state,fips,cases,deaths,pop_not_stay_at_home,pop_stay_at_home,trips,tempmedian,tempmean,prcpmedian,prcpmean,population,pop_density,administered_dose1_pop_pct,administered_dose1_recip,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,completeness_pct,mmwr_week,series_complete_12plus,series_complete_12pluspop,series_complete_12pluspop_pct_svi,series_complete_18plus,series_complete_18pluspop,series_complete_18pluspop_pct_svi,series_complete_65plus,series_complete_65pluspop,series_complete_65pluspop_pct_svi,series_complete_pop_pct,series_complete_pop_pct_svi,series_complete_yes,svi_ctgy
70,Apache,AZ,4001,12359,450,58705.063829787236,13181.936170212766,261097.7031914893,194.0,188.5411721745481,0.0,7.165053861603067,71818,6.4137685289999995,78.5,56440.0,56418.0,95.1,47298.0,90.2,10859.0,95.8,97.5,35,48538.0,81.8,High VC/High SVI,41102,78.3,High VC/High SVI,9821,86.7,High VC/High SVI,67.5,High VC/High SVI,48547,High
71,Cochise,AZ,4003,13038,305,95467.36382978725,30454.636170212765,427870.23723404255,278.0,266.33773500447626,0.0,7.184198746642793,126770,20.56427823,58.1,73125.0,73120.0,67.6,69035.0,69.8,23322.0,80.1,97.5,35,62739.0,58.0,High VC/High SVI,59669,60.3,High VC/High SVI,20604,70.8,High VC/High SVI,49.8,Mod-High VC/High SVI,62742,High
72,Coconino,AZ,4005,19747,340,112430.87553191488,31045.124468085098,514126.2872340426,189.0,187.30844814696144,0.0,6.822599594147174,142854,7.6726192992,73.8,105829.0,105813.0,85.0,97237.0,84.8,22407.0,99.9,97.5,35,91695.0,73.6,High VC/Mod-High SVI,84688,73.8,High VC/Mod-High SVI,19917,99.9,High VC/Mod-High SVI,63.9,High VC/Mod-High SVI,91703,Mod-High
73,Gila,AZ,4007,8128,246,40772.5,13245.5,179670.71914893613,233.0,234.7800916284881,0.0,7.279050395668473,53889,11.325986655,56.8,30681.0,30676.0,65.4,29279.0,67.5,11954.0,75.3,97.5,35,26088.0,55.7,High VC/High SVI,25127,57.9,High VC/High SVI,10545,66.5,Mod-High VC/High SVI,48.3,Mod-High VC/High SVI,26090,High
74,Graham,AZ,4009,6174,89,31352.679787234043,7484.320212765958,144026.84148936172,283.0,276.53706754530475,0.0,3.5,38072,8.2358796196,56.4,21904.0,21900.0,68.6,20551.0,72.1,5385.0,99.0,97.5,35,18771.0,58.8,High VC/High SVI,17936,63.0,High VC/High SVI,4944,90.9,High VC/High SVI,48.3,Mod-High VC/High SVI,18772,High
75,Greenlee,AZ,4011,711,11,7210.900958466454,2287.0990415335464,35120.24494142705,207.0,206.5087719298245,0.0,8.300092336103415,9483,5.1482697863,39.7,3775.0,3775.0,48.7,3626.0,52.3,942.0,72.6,97.5,35,3146.0,40.6,Mod-High VC/Mod-High SVI,3102,44.8,Mod-High VC/Mod-High SVI,858,66.2,Mod-High VC/Mod-High SVI,33.1,Low-Mod VC/Mod-High SVI,3146,Mod-High
76,La Paz,AZ,4012,2675,80,15684.11170212766,5423.88829787234,67954.23085106382,333.0,320.0281973816717,0.0,2.7230614300100706,21098,4.6888309769,45.8,9668.0,9666.0,51.4,9236.0,52.5,4915.0,58.6,97.5,35,8147.0,43.3,Mod-High VC/High SVI,7842,44.6,Mod-High VC/High SVI,4433,52.8,Mod-High VC/High SVI,38.6,Low-Mod VC/High SVI,8148,High
77,Maricopa,AZ,4013,636162,10748,3486910.6117021283,998503.3882978724,14599315.677659575,328.0,313.5491511213582,0.0,4.227625235799623,4410824,479.47643039999997,53.0,2379327.0,2379062.0,62.6,2222585.0,64.7,603734.0,86.7,97.5,35,1995121.0,52.5,High VC/Mod-High SVI,1876453,54.7,High VC/Mod-High SVI,515044,74.0,High VC/Mod-High SVI,44.5,Mod-High VC/Mod-High SVI,1995172,Mod-High
78,Mohave,AZ,4015,28141,839,159802.54255319148,52378.45744680851,624635.9787234042,261.0,273.5983727810651,0.0,3.812869822485207,209550,15.742539574,40.7,86337.0,86330.0,45.6,84466.0,47.8,43077.0,65.4,97.5,35,69015.0,36.4,Low-Mod VC/High SVI,67863,38.4,Low-Mod VC/High SVI,35761,54.3,Mod-High VC/High SVI,32.5,Low-Mod VC/High SVI,69018,High
79,Navajo,AZ,4017,18409,568,86378.20957446807,24545.790425531915,366919.9021276596,206.0,200.10971223021585,0.0,7.181654676258992,110445,11.100123355,67.2,74554.0,74541.0,81.1,65231.0,79.7,19636.0,94.3,97.5,35,63015.0,68.6,High VC/High SVI,55649,68.0,High VC/High SVI,16728,80.3,High VC/High SVI,56.8,High VC/High SVI,63018,High
