,admin2,state,fips,cases,deaths,pop_not_stay_at_home,pop_stay_at_home,trips,tempmedian,tempmean,prcpmedian,prcpmean,population,pop_density,administered_dose1_pop_pct,administered_dose1_recip,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,completeness_pct,mmwr_week,series_complete_12plus,series_complete_12pluspop,series_complete_12pluspop_pct_svi,series_complete_18plus,series_complete_18pluspop,series_complete_18pluspop_pct_svi,series_complete_65plus,series_complete_65pluspop,series_complete_65pluspop_pct_svi,series_complete_pop_pct,series_complete_pop_pct_svi,series_complete_yes,svi_ctgy
70,Apache,AZ,4001,12809,457,58705.063829787236,13181.936170212766,261097.7031914893,194.0,188.5411721745481,0.0,7.165053861603067,71818,6.4137685289999995,79.8,57379.0,57356.0,96.6,48035.0,91.6,10947.0,96.6,97.6,37,49646.0,83.6,16.0,41792,79.7,16.0,9936,87.7,16.0,69.1,16.0,49655,D
71,Cochise,AZ,4003,13615,308,95467.36382978725,30454.636170212765,427870.23723404255,278.0,266.33773500447626,0.0,7.184198746642793,126770,20.56427823,59.5,74922.0,74916.0,69.3,70518.0,71.3,23507.0,80.7,97.6,37,65057.0,60.2,16.0,61526,62.2,16.0,20830,71.5,16.0,51.7,16.0,65060,D
72,Coconino,AZ,4005,20565,342,112430.87553191488,31045.124468085098,514126.2872340426,189.0,187.30844814696144,0.0,6.822599594147174,142854,7.6726192992,75.0,107653.0,107634.0,86.4,98700.0,86.0,22547.0,99.9,97.6,37,94484.0,75.9,12.0,86958,75.8,12.0,20188,99.9,12.0,65.9,12.0,94492,C
73,Gila,AZ,4007,8645,250,40772.5,13245.5,179670.71914893613,233.0,234.7800916284881,0.0,7.279050395668473,53889,11.325986655,58.1,31395.0,31390.0,67.0,29879.0,68.9,12053.0,76.0,97.6,37,26852.0,57.3,16.0,25720,59.3,16.0,10669,67.2,15.0,49.7,15.0,26854,D
74,Graham,AZ,4009,6658,97,31352.679787234043,7484.320212765958,144026.84148936172,283.0,276.53706754530475,0.0,3.5,38072,8.2358796196,58.7,22804.0,22800.0,71.4,21211.0,74.5,5446.0,99.9,97.6,37,19657.0,61.6,16.0,18542,65.1,16.0,5006,92.0,16.0,50.6,16.0,19658,D
75,Greenlee,AZ,4011,833,14,7210.900958466454,2287.0990415335464,35120.24494142705,207.0,206.5087719298245,0.0,8.300092336103415,9483,5.1482697863,40.7,3868.0,3868.0,49.9,3700.0,53.4,947.0,73.0,97.6,37,3237.0,41.7,11.0,3167,45.7,11.0,865,66.7,11.0,34.1,10.0,3237,C
76,La Paz,AZ,4012,2816,85,15684.11170212766,5423.88829787234,67954.23085106382,333.0,320.0281973816717,0.0,2.7230614300100706,21098,4.6888309769,46.7,9851.0,9849.0,52.4,9377.0,53.3,4954.0,59.0,97.6,37,8323.0,44.3,15.0,7980,45.3,15.0,4472,53.3,15.0,39.4,14.0,8324,D
77,Maricopa,AZ,4013,668223,11016,3486910.6117021283,998503.3882978724,14599315.677659575,328.0,313.5491511213582,0.0,4.227625235799623,4410824,479.47643039999997,54.6,2448826.0,2448527.0,64.5,2279623.0,66.4,608562.0,87.4,97.6,37,2089756.0,55.0,12.0,1953769,56.9,12.0,525048,75.4,12.0,46.6,11.0,2089811,C
78,Mohave,AZ,4015,29757,874,159802.54255319148,52378.45744680851,624635.9787234042,261.0,273.5983727810651,0.0,3.812869822485207,209550,15.742539574,41.9,88869.0,88862.0,46.9,86685.0,49.0,43646.0,66.2,97.6,37,72469.0,38.3,14.0,71007,40.2,15.0,36739,55.7,15.0,34.2,14.0,72472,D
79,Navajo,AZ,4017,19053,580,86378.20957446807,24545.790425531915,366919.9021276596,206.0,200.10971223021585,0.0,7.181654676258992,110445,11.100123355,68.6,76040.0,76025.0,82.8,66426.0,81.2,19822.0,95.2,97.6,37,65208.0,71.0,16.0,57339,70.1,16.0,17419,83.6,16.0,58.8,16.0,65211,D
80,Pima,AZ,4019,131183,2541,813301.8861702128,233977.1138297873,3453029.1553191487,275.0,280.7026608111599,0.0,5.170240247997934,1039073,113.09979314,64.7,677194.0,676848.0,74.7,632914.0,76.1,202502.0,95.3,97.6,37,591680.0,65.3,16.0,555980,66.8,16.0,182436,85.8,16.0,56.5,16.0,591904,D
81,Pinal,AZ,4021,65790,961,362531.9521276597,100257.04787234042,1463868.8755319146,300.0,295.7289048473968,0.0,3.260771992818672,447138,83.330493702,49.8,230656.0,230626.0,58.2,216815.0,60.2,76069.0,78.8,97.6,37,198650.0,50.2,16.0,187890,52.1,16.0,67168,69.6,15.0,42.9,15.0,198660,D
82,Santa Cruz,AZ,4023,8643,188,36934.097872340426,9563.902127659574,163529.1989361702,278.0,267.409756097561,0.0,7.858536585365852,46511,37.602208146,96.6,44940.0,44935.0,99.9,40155.0,99.9,9413.0,99.9,97.6,37,40327.0,99.9,16.0,36395,99.9,16.0,8757,99.9,16.0,86.7,16.0,40328,D
83,Yavapai,AZ,4025,24832,603,180123.7680851064,54975.231914893615,773611.6978723404,256.0,250.20664324496963,0.0,5.737783455764933,231993,28.558217746,48.3,113477.0,113458.0,53.7,110253.0,55.8,56553.0,74.0,97.6,37,90710.0,43.0,11.0,88317,44.7,11.0,46830,61.3,11.0,38.6,10.0,90715,C
84,Yuma,AZ,4027,40065,871,151803.97021276597,61983.02978723405,656202.5074468085,333.0,324.7910447761194,0.0,2.725373134328358,212128,38.470979394000004,63.8,136477.0,136426.0,76.7,124791.0,77.9,32355.0,78.3,97.6,37,117258.0,65.9,16.0,108570,67.8,16.0,28896,70.0,16.0,54.9,16.0,117273,D
