,admin2,state,fips,cases,deaths,pop_not_stay_at_home,pop_stay_at_home,trips,tempmedian,tempmean,prcpmedian,prcpmean,population,pop_density,administered_dose1_pop_pct,administered_dose1_recip,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,completeness_pct,mmwr_week,series_complete_12plus,series_complete_12pluspop,series_complete_12pluspop_pct_svi,series_complete_18plus,series_complete_18pluspop,series_complete_18pluspop_pct_svi,series_complete_65plus,series_complete_65pluspop,series_complete_65pluspop_pct_svi,series_complete_pop_pct,series_complete_pop_pct_svi,series_complete_yes,svi_ctgy
70,Apache,AZ,4001,12823,459,58705.063829787236,13181.936170212766,261097.7031914893,194.0,188.5411721745481,0.0,7.165053861603067,71818,6.4137685289999995,79.9,57444.0,57421.0,96.7,48095.0,91.7,10961.0,96.7,97.6,37,49743.0,83.8,16.0,41843,79.8,16.0,9944,87.7,16.0,69.2,16.0,49754,D
71,Cochise,AZ,4003,13648,311,95467.36382978725,30454.636170212765,427870.23723404255,278.0,266.33773500447626,0.0,7.184198746642793,126770,20.56427823,59.6,75065.0,75059.0,69.4,70642.0,71.4,23522.0,80.8,97.6,37,65189.0,60.3,16.0,61636,62.3,16.0,20842,71.6,16.0,51.8,16.0,65192,D
72,Coconino,AZ,4005,20593,345,112430.87553191488,31045.124468085098,514126.2872340426,189.0,187.30844814696144,0.0,6.822599594147174,142854,7.6726192992,75.2,107851.0,107832.0,86.6,98849.0,86.2,22560.0,99.9,97.6,37,94643.0,76.0,12.0,87080,75.9,12.0,20198,99.9,12.0,66.0,12.0,94651,C
73,Gila,AZ,4007,8678,251,40772.5,13245.5,179670.71914893613,233.0,234.7800916284881,0.0,7.279050395668473,53889,11.325986655,58.2,31447.0,31442.0,67.1,29925.0,69.0,12060.0,76.0,97.6,37,26896.0,57.4,16.0,25760,59.4,16.0,10672,67.3,15.0,49.8,15.0,26898,D
74,Graham,AZ,4009,6682,97,31352.679787234043,7484.320212765958,144026.84148936172,283.0,276.53706754530475,0.0,3.5,38072,8.2358796196,58.9,22873.0,22869.0,71.6,21271.0,74.7,5458.0,99.9,97.6,37,19717.0,61.7,16.0,18586,65.2,16.0,5014,92.2,16.0,50.8,16.0,19718,D
75,Greenlee,AZ,4011,845,14,7210.900958466454,2287.0990415335464,35120.24494142705,207.0,206.5087719298245,0.0,8.300092336103415,9483,5.1482697863,40.9,3880.0,3880.0,50.0,3711.0,53.6,947.0,73.0,97.6,37,3249.0,41.9,11.0,3177,45.9,11.0,865,66.7,11.0,34.2,10.0,3249,C
76,La Paz,AZ,4012,2842,86,15684.11170212766,5423.88829787234,67954.23085106382,333.0,320.0281973816717,0.0,2.7230614300100706,21098,4.6888309769,46.8,9874.0,9872.0,52.5,9398.0,53.4,4962.0,59.1,97.6,37,8328.0,44.3,15.0,7985,45.4,15.0,4472,53.3,15.0,39.5,14.0,8329,D
77,Maricopa,AZ,4013,669874,11075,3486910.6117021283,998503.3882978724,14599315.677659575,328.0,313.5491511213582,0.0,4.227625235799623,4410824,479.47643039999997,54.7,2455313.0,2455011.0,64.6,2285030.0,66.6,608902.0,87.4,97.6,37,2096065.0,55.2,12.0,1958919,57.1,12.0,525462,75.5,12.0,46.7,11.0,2096121,C
78,Mohave,AZ,4015,29867,878,159802.54255319148,52378.45744680851,624635.9787234042,261.0,273.5983727810651,0.0,3.812869822485207,209550,15.742539574,42.1,89383.0,89376.0,47.2,87104.0,49.3,43756.0,66.4,97.6,37,72971.0,38.5,14.0,71420,40.4,15.0,36853,55.9,15.0,34.4,14.0,72974,D
79,Navajo,AZ,4017,19093,585,86378.20957446807,24545.790425531915,366919.9021276596,206.0,200.10971223021585,0.0,7.181654676258992,110445,11.100123355,68.7,76152.0,76137.0,82.9,66531.0,81.3,19834.0,95.2,97.6,37,65376.0,71.2,16.0,57466,70.2,16.0,17433,83.7,16.0,58.9,16.0,65379,D
80,Pima,AZ,4019,131385,2560,813301.8861702128,233977.1138297873,3453029.1553191487,275.0,280.7026608111599,0.0,5.170240247997934,1039073,113.09979314,64.8,678981.0,678635.0,74.9,634446.0,76.3,202599.0,95.3,97.6,37,593092.0,65.5,16.0,557124,67.0,16.0,182543,85.9,16.0,56.7,16.0,593316,D
81,Pinal,AZ,4021,65941,971,362531.9521276597,100257.04787234042,1463868.8755319146,300.0,295.7289048473968,0.0,3.260771992818672,447138,83.330493702,50.0,231363.0,231333.0,58.4,217397.0,60.3,76115.0,78.8,97.6,37,199434.0,50.3,16.0,188526,52.3,16.0,67226,69.6,15.0,43.1,15.0,199444,D
