,admin2,state,fips,cases,deaths,pop_not_stay_at_home,pop_stay_at_home,trips,tempmedian,tempmean,prcpmedian,prcpmean,population,pop_density,administered_dose1_pop_pct,administered_dose1_recip,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,completeness_pct,mmwr_week,series_complete_12plus,series_complete_12pluspop,series_complete_12pluspop_pct_svi,series_complete_18plus,series_complete_18pluspop,series_complete_18pluspop_pct_svi,series_complete_65plus,series_complete_65pluspop,series_complete_65pluspop_pct_svi,series_complete_pop_pct,series_complete_pop_pct_svi,series_complete_yes,svi_ctgy
70,Apache,AZ,4001,12852,459,58705.063829787236,13181.936170212766,261097.7031914893,194.0,188.5411721745481,0.0,7.165053861603067,71818,6.4137685289999995,80.1,57568.0,57545.0,97.0,48204.0,91.9,10988.0,96.9,97.6,37,49872.0,84.0,16.0,41939,79.9,16.0,9965,87.9,16.0,69.4,16.0,49883,D
71,Cochise,AZ,4003,13718,312,95467.36382978725,30454.636170212765,427870.23723404255,278.0,266.33773500447626,0.0,7.184198746642793,126770,20.56427823,59.7,75160.0,75154.0,69.5,70721.0,71.5,23532.0,80.8,97.6,37,65284.0,60.4,16.0,61722,62.4,16.0,20856,71.6,16.0,51.8,16.0,65287,D
72,Coconino,AZ,4005,20662,345,112430.87553191488,31045.124468085098,514126.2872340426,189.0,187.30844814696144,0.0,6.822599594147174,142854,7.6726192992,75.3,107974.0,107955.0,86.7,98950.0,86.2,22570.0,99.9,97.6,37,94768.0,76.1,12.0,87187,76.0,12.0,20206,99.9,12.0,66.1,12.0,94776,C
73,Gila,AZ,4007,8711,251,40772.5,13245.5,179670.71914893613,233.0,234.7800916284881,0.0,7.279050395668473,53889,11.325986655,58.3,31502.0,31497.0,67.2,29972.0,69.1,12067.0,76.0,97.6,37,26956.0,57.5,16.0,25812,59.5,16.0,10680,67.3,15.0,49.9,15.0,26958,D
74,Graham,AZ,4009,6728,97,31352.679787234043,7484.320212765958,144026.84148936172,283.0,276.53706754530475,0.0,3.5,38072,8.2358796196,59.0,22933.0,22929.0,71.8,21321.0,74.8,5461.0,99.9,97.6,37,19771.0,61.9,16.0,18622,65.4,16.0,5016,92.2,16.0,50.9,16.0,19772,D
75,Greenlee,AZ,4011,850,14,7210.900958466454,2287.0990415335464,35120.24494142705,207.0,206.5087719298245,0.0,8.300092336103415,9483,5.1482697863,40.9,3888.0,3888.0,50.1,3718.0,53.7,947.0,73.0,97.6,37,3258.0,42.0,11.0,3186,46.0,11.0,866,66.8,11.0,34.3,10.0,3258,C
76,La Paz,AZ,4012,2871,86,15684.11170212766,5423.88829787234,67954.23085106382,333.0,320.0281973816717,0.0,2.7230614300100706,21098,4.6888309769,47.0,9913.0,9911.0,52.7,9422.0,53.5,4969.0,59.2,97.6,37,8345.0,44.4,15.0,7996,45.4,15.0,4476,53.3,15.0,39.5,14.0,8346,D
77,Maricopa,AZ,4013,671558,11085,3486910.6117021283,998503.3882978724,14599315.677659575,328.0,313.5491511213582,0.0,4.227625235799623,4410824,479.47643039999997,54.8,2459968.0,2459666.0,64.8,2288893.0,66.7,609258.0,87.5,97.6,37,2100765.0,55.3,12.0,1962806,57.2,12.0,525862,75.5,12.0,46.8,11.0,2100821,C
78,Mohave,AZ,4015,30015,884,159802.54255319148,52378.45744680851,624635.9787234042,261.0,273.5983727810651,0.0,3.812869822485207,209550,15.742539574,42.2,89540.0,89533.0,47.3,87251.0,49.3,43798.0,66.5,97.6,37,73174.0,38.6,14.0,71612,40.5,15.0,36902,56.0,15.0,34.5,14.0,73177,D
79,Navajo,AZ,4017,19128,585,86378.20957446807,24545.790425531915,366919.9021276596,206.0,200.10971223021585,0.0,7.181654676258992,110445,11.100123355,68.9,76456.0,76441.0,83.2,66710.0,81.5,19863.0,95.4,97.6,37,65705.0,71.5,16.0,57627,70.4,16.0,17468,83.9,16.0,59.2,16.0,65708,D
