,admin2,state,fips,cases,deaths,pop_not_stay_at_home,pop_stay_at_home,trips,tempmedian,tempmean,prcpmedian,prcpmean,population,pop_density,administered_dose1_pop_pct,administered_dose1_recip,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,completeness_pct,mmwr_week,series_complete_12plus,series_complete_12pluspop,series_complete_12pluspop_pct_svi,series_complete_18plus,series_complete_18pluspop,series_complete_18pluspop_pct_svi,series_complete_65plus,series_complete_65pluspop,series_complete_65pluspop_pct_svi,series_complete_pop_pct,series_complete_pop_pct_svi,series_complete_yes,svi_ctgy
70,Apache,AZ,4001,12398,452,58705.063829787236,13181.936170212766,261097.7031914893,194.0,188.5411721745481,0.0,7.165053861603067,71818,6.4137685289999995,78.6,56510.0,56488.0,95.2,47352.0,90.3,10869.0,95.9,97.5,35,48599.0,81.9,High VC/High SVI,41134,78.4,High VC/High SVI,9826,86.7,High VC/High SVI,67.6,High VC/High SVI,48608,High
71,Cochise,AZ,4003,13098,306,95467.36382978725,30454.636170212765,427870.23723404255,278.0,266.33773500447626,0.0,7.184198746642793,126770,20.56427823,58.2,73271.0,73266.0,67.8,69138.0,69.9,23331.0,80.1,97.5,35,62876.0,58.2,High VC/High SVI,59773,60.4,High VC/High SVI,20621,70.8,High VC/High SVI,49.9,Mod-High VC/High SVI,62879,High
72,Coconino,AZ,4005,19814,341,112430.87553191488,31045.124468085098,514126.2872340426,189.0,187.30844814696144,0.0,6.822599594147174,142854,7.6726192992,73.9,106004.0,105988.0,85.1,97379.0,84.9,22423.0,99.9,97.5,35,91837.0,73.7,High VC/Mod-High SVI,84787,73.9,High VC/Mod-High SVI,19924,99.9,High VC/Mod-High SVI,64.0,High VC/Mod-High SVI,91845,Mod-High
73,Gila,AZ,4007,8179,248,40772.5,13245.5,179670.71914893613,233.0,234.7800916284881,0.0,7.279050395668473,53889,11.325986655,56.9,30750.0,30745.0,65.6,29335.0,67.6,11963.0,75.4,97.5,35,26143.0,55.8,High VC/High SVI,25166,58.0,High VC/High SVI,10553,66.5,Mod-High VC/High SVI,48.4,Mod-High VC/High SVI,26145,High
74,Graham,AZ,4009,6209,89,31352.679787234043,7484.320212765958,144026.84148936172,283.0,276.53706754530475,0.0,3.5,38072,8.2358796196,56.6,21994.0,21990.0,68.9,20612.0,72.4,5392.0,99.1,97.5,35,18817.0,58.9,High VC/High SVI,17971,63.1,High VC/High SVI,4944,90.9,High VC/High SVI,48.5,Mod-High VC/High SVI,18818,High
75,Greenlee,AZ,4011,718,12,7210.900958466454,2287.0990415335464,35120.24494142705,207.0,206.5087719298245,0.0,8.300092336103415,9483,5.1482697863,39.8,3783.0,3783.0,48.8,3628.0,52.4,943.0,72.7,97.5,35,3148.0,40.6,Mod-High VC/Mod-High SVI,3103,44.8,Mod-High VC/Mod-High SVI,858,66.2,Mod-High VC/Mod-High SVI,33.1,Low-Mod VC/Mod-High SVI,3148,Mod-High
76,La Paz,AZ,4012,2679,81,15684.11170212766,5423.88829787234,67954.23085106382,333.0,320.0281973816717,0.0,2.7230614300100706,21098,4.6888309769,45.9,9679.0,9677.0,51.5,9247.0,52.5,4920.0,58.6,97.5,35,8155.0,43.4,Mod-High VC/High SVI,7848,44.6,Mod-High VC/High SVI,4435,52.8,Mod-High VC/High SVI,38.6,Low-Mod VC/High SVI,8156,High
77,Maricopa,AZ,4013,640002,10780,3486910.6117021283,998503.3882978724,14599315.677659575,328.0,313.5491511213582,0.0,4.227625235799623,4410824,479.47643039999997,53.2,2387978.0,2387708.0,62.9,2229450.0,64.9,604206.0,86.8,97.5,35,2003504.0,52.8,High VC/Mod-High SVI,1882992,54.9,High VC/Mod-High SVI,515594,74.0,High VC/Mod-High SVI,44.7,Mod-High VC/Mod-High SVI,2003555,Mod-High
78,Mohave,AZ,4015,28266,844,159802.54255319148,52378.45744680851,624635.9787234042,261.0,273.5983727810651,0.0,3.812869822485207,209550,15.742539574,40.8,86575.0,86568.0,45.7,84673.0,47.9,43113.0,65.4,97.5,35,69244.0,36.6,Low-Mod VC/High SVI,68076,38.5,Low-Mod VC/High SVI,35805,54.3,Mod-High VC/High SVI,32.6,Low-Mod VC/High SVI,69247,High
79,Navajo,AZ,4017,18518,571,86378.20957446807,24545.790425531915,366919.9021276596,206.0,200.10971223021585,0.0,7.181654676258992,110445,11.100123355,67.3,74688.0,74675.0,81.3,65339.0,79.9,19649.0,94.3,97.5,35,63116.0,68.7,High VC/High SVI,55719,68.1,High VC/High SVI,16735,80.3,High VC/High SVI,56.9,High VC/High SVI,63119,High
