,admin2,state,fips,cases,deaths,pop_not_stay_at_home,pop_stay_at_home,trips,tempmedian,tempmean,prcpmedian,prcpmean,population,pop_density,administered_dose1_pop_pct,administered_dose1_recip,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,completeness_pct,mmwr_week,series_complete_12plus,series_complete_12pluspop,series_complete_12pluspop_pct_svi,series_complete_18plus,series_complete_18pluspop,series_complete_18pluspop_pct_svi,series_complete_65plus,series_complete_65pluspop,series_complete_65pluspop_pct_svi,series_complete_pop_pct,series_complete_pop_pct_svi,series_complete_yes,svi_ctgy
70,Apache,AZ,4001,12359,452,58705.063829787236,13181.936170212766,261097.7031914893,194.0,188.5411721745481,0.0,7.165053861603067,71818,6.4137685289999995,78.6,56502.0,56480.0,95.2,47345.0,90.2,10868.0,95.9,97.5,35,48581.0,81.8,High VC/High SVI,41124,78.4,High VC/High SVI,9825,86.7,High VC/High SVI,67.6,High VC/High SVI,48590,High
71,Cochise,AZ,4003,13038,306,95467.36382978725,30454.636170212765,427870.23723404255,278.0,266.33773500447626,0.0,7.184198746642793,126770,20.56427823,58.2,73241.0,73236.0,67.8,69110.0,69.8,23329.0,80.1,97.5,35,62851.0,58.1,High VC/High SVI,59749,60.4,High VC/High SVI,20618,70.8,High VC/High SVI,49.9,Mod-High VC/High SVI,62854,High
72,Coconino,AZ,4005,19747,341,112430.87553191488,31045.124468085098,514126.2872340426,189.0,187.30844814696144,0.0,6.822599594147174,142854,7.6726192992,73.8,105955.0,105939.0,85.1,97341.0,84.8,22419.0,99.9,97.5,35,91798.0,73.7,High VC/Mod-High SVI,84760,73.9,High VC/Mod-High SVI,19923,99.9,High VC/Mod-High SVI,64.0,High VC/Mod-High SVI,91806,Mod-High
73,Gila,AZ,4007,8128,248,40772.5,13245.5,179670.71914893613,233.0,234.7800916284881,0.0,7.279050395668473,53889,11.325986655,56.9,30729.0,30724.0,65.5,29316.0,67.6,11960.0,75.4,97.5,35,26128.0,55.7,High VC/High SVI,25153,58.0,High VC/High SVI,10549,66.5,Mod-High VC/High SVI,48.4,Mod-High VC/High SVI,26130,High
74,Graham,AZ,4009,6174,89,31352.679787234043,7484.320212765958,144026.84148936172,283.0,276.53706754530475,0.0,3.5,38072,8.2358796196,56.6,21982.0,21978.0,68.8,20602.0,72.3,5391.0,99.1,97.5,35,18809.0,58.9,High VC/High SVI,17963,63.1,High VC/High SVI,4944,90.9,High VC/High SVI,48.4,Mod-High VC/High SVI,18810,High
75,Greenlee,AZ,4011,711,12,7210.900958466454,2287.0990415335464,35120.24494142705,207.0,206.5087719298245,0.0,8.300092336103415,9483,5.1482697863,39.8,3783.0,3783.0,48.8,3628.0,52.4,943.0,72.7,97.5,35,3148.0,40.6,Mod-High VC/Mod-High SVI,3103,44.8,Mod-High VC/Mod-High SVI,858,66.2,Mod-High VC/Mod-High SVI,33.1,Low-Mod VC/Mod-High SVI,3148,Mod-High
76,La Paz,AZ,4012,2675,81,15684.11170212766,5423.88829787234,67954.23085106382,333.0,320.0281973816717,0.0,2.7230614300100706,21098,4.6888309769,45.8,9674.0,9672.0,51.4,9242.0,52.5,4919.0,58.6,97.5,35,8154.0,43.4,Mod-High VC/High SVI,7847,44.6,Mod-High VC/High SVI,4435,52.8,Mod-High VC/High SVI,38.6,Low-Mod VC/High SVI,8155,High
77,Maricopa,AZ,4013,636162,10777,3486910.6117021283,998503.3882978724,14599315.677659575,328.0,313.5491511213582,0.0,4.227625235799623,4410824,479.47643039999997,53.2,2384781.0,2384512.0,62.8,2226899.0,64.9,604056.0,86.7,97.5,35,2000331.0,52.7,High VC/Mod-High SVI,1880489,54.8,High VC/Mod-High SVI,515411,74.0,High VC/Mod-High SVI,44.6,Mod-High VC/Mod-High SVI,2000382,Mod-High
78,Mohave,AZ,4015,28141,841,159802.54255319148,52378.45744680851,624635.9787234042,261.0,273.5983727810651,0.0,3.812869822485207,209550,15.742539574,40.8,86518.0,86511.0,45.7,84622.0,47.9,43107.0,65.4,97.5,35,69164.0,36.5,Low-Mod VC/High SVI,67999,38.5,Low-Mod VC/High SVI,35793,54.3,Mod-High VC/High SVI,32.6,Low-Mod VC/High SVI,69167,High
79,Navajo,AZ,4017,18409,571,86378.20957446807,24545.790425531915,366919.9021276596,206.0,200.10971223021585,0.0,7.181654676258992,110445,11.100123355,67.3,74661.0,74648.0,81.3,65316.0,79.8,19644.0,94.3,97.5,35,63095.0,68.7,High VC/High SVI,55701,68.1,High VC/High SVI,16733,80.3,High VC/High SVI,56.9,High VC/High SVI,63098,High
80,Pima,AZ,4019,126802,2496,813301.8861702128,233977.1138297873,3453029.1553191487,275.0,280.7026608111599,0.0,5.170240247997934,1039073,113.09979314,63.3,662945.0,662611.0,73.1,621127.0,74.7,201427.0,94.8,97.5,35,574462.0,63.4,High VC/High SVI,542265,65.2,High VC/High SVI,180763,85.0,High VC/High SVI,54.9,High VC/High SVI,574681,High
81,Pinal,AZ,4021,62386,942,362531.9521276597,100257.04787234042,1463868.8755319146,300.0,295.7289048473968,0.0,3.260771992818672,447138,83.330493702,48.4,223934.0,223904.0,56.5,211282.0,58.6,75559.0,78.2,97.5,35,189942.0,48.0,Mod-High VC/High SVI,180740,50.1,High VC/High SVI,66100,68.5,Mod-High VC/High SVI,41.0,Mod-High VC/High SVI,189950,High
82,Santa Cruz,AZ,4023,8459,185,36934.097872340426,9563.902127659574,163529.1989361702,278.0,267.409756097561,0.0,7.858536585365852,46511,37.602208146,95.0,44157.0,44153.0,99.9,39572.0,99.9,9378.0,99.9,97.5,35,38867.0,99.9,High VC/High SVI,35401,99.9,High VC/High SVI,8676,99.9,High VC/High SVI,83.6,High VC/High SVI,38868,High
83,Yavapai,AZ,4025,23353,579,180123.7680851064,54975.231914893615,773611.6978723404,256.0,250.20664324496963,0.0,5.737783455764933,231993,28.558217746,47.2,111018.0,110999.0,52.6,108115.0,54.7,56058.0,73.3,97.5,35,87692.0,41.5,Mod-High VC/Mod-High SVI,85694,43.4,Mod-High VC/Mod-High SVI,46134,60.4,Mod-High VC/Mod-High SVI,37.3,Low-Mod VC/Mod-High SVI,87697,Mod-High
84,Yuma,AZ,4027,39219,859,151803.97021276597,61983.02978723405,656202.5074468085,333.0,324.7910447761194,0.0,2.725373134328358,212128,38.470979394000004,62.0,132501.0,132460.0,74.5,121920.0,76.1,32145.0,77.8,97.5,35,111686.0,62.8,High VC/High SVI,104582,65.3,High VC/High SVI,28539,69.1,Mod-High VC/High SVI,52.2,High VC/High SVI,111699,High
