date_formatted,date,FIPS,Admin2,State,UID,iso2,iso3,code3,Lat,Long_,census2019,census2019_5pluspop,census2019_12pluspop,census2019_18pluspop,census2019_65pluspop,Cases,Deaths,TempMedian,TempMean,PrcpMedian,PrcpMean,population,pop_density,mmwr_week,series_complete_pop_pct,series_complete_yes,series_complete_12plus,series_complete_18plus,series_complete_65plus,completeness_pct,administered_dose1_recip,administered_dose1_pop_pct,administered_dose1_recip_12plus,administered_dose1_recip_12pluspop_pct,administered_dose1_recip_18plus,administered_dose1_recip_18pluspop_pct,administered_dose1_recip_65plus,administered_dose1_recip_65pluspop_pct,svi_ctgy,series_complete_pop_pct_svi,series_complete_12pluspop_pct_svi,series_complete_18pluspop_pct_svi,series_complete_65pluspop_pct_svi,metro_status,series_complete_pop_pct_ur_equity,series_complete_12pluspop_pct_ur_equity,series_complete_18pluspop_pct_ur_equity,series_complete_65pluspop_pct_ur_equity,administered_dose1_recip_5plus,administered_dose1_recip_5pluspop_pct,series_complete_5plus,series_complete_5pluspop_pct,series_complete_5pluspop_pct_svi,series_complete_5pluspop_pct_ur_equity,booster_doses,booster_doses_18plus,booster_doses_50plus,booster_doses_65plus,booster_doses_vax_pct,booster_doses_18plus_vax_pct,booster_doses_50plus_vax_pct,booster_doses_65plus_vax_pct,pop_stay_at_home,pop_not_stay_at_home,trips
2022-01-01,20220101,27053,Hennepin,MN,84027053,US,USA,840.0,45.00761521,0,1265843.0,1185711.0,1078507.0,989707.0,183653.0,203703,2179,156.0,142.17374881964116,0.0,18.405099150141645,1259428,2273,0,70.5,892053.0,855383.0,795798.0,170022.0,94.5,972020.0,76.8,923155.0,85.6,860484.0,86.9,179440.0,95.0,B,8.0,8.0,8.0,8.0,Metro,4.0,4.0,4.0,4.0,971976.0,82.0,892041.0,75.2,8.0,4.0,425487.0,421342.0,242446.0,130695.0,47.7,52.9,66.5,76.9,283289.0,982554.0,5123106.0
2022-01-01,20220101,27109,Olmsted,MN,84027109,US,USA,840.0,44.00374114,0,158293.0,147583.0,132534.0,119603.0,25236.0,25067,139,133.0,127.22677595628416,0.0,21.693989071038253,156277,239,0,73.6,116548.0,110807.0,101722.0,23149.0,94.5,124302.0,78.5,117013.0,88.3,107576.0,89.9,24055.0,95.0,B,8.0,8.0,8.0,8.0,Metro,4.0,4.0,4.0,4.0,124299.0,84.2,116548.0,79.0,8.0,4.0,66391.0,65600.0,37717.0,20394.0,57.0,64.5,78.2,88.1,29335.0,128958.0,717129.0
2022-01-02,20220102,27053,Hennepin,MN,84027053,US,USA,840.0,45.00761521,0,1265843.0,1185711.0,1078507.0,989707.0,183653.0,203703,2179,156.0,142.17374881964116,0.0,18.405099150141645,1259428,2273,0,70.5,892053.0,855383.0,795798.0,170022.0,94.5,972020.0,76.8,923155.0,85.6,860484.0,86.9,179440.0,95.0,B,8.0,8.0,8.0,8.0,Metro,4.0,4.0,4.0,4.0,971976.0,82.0,892041.0,75.2,8.0,4.0,425487.0,421342.0,242446.0,130695.0,47.7,52.9,66.5,76.9,276941.0,988902.0,5594744.0
2022-01-02,20220102,27109,Olmsted,MN,84027109,US,USA,840.0,44.00374114,0,158293.0,147583.0,132534.0,119603.0,25236.0,25067,139,133.0,127.22677595628416,0.0,21.693989071038253,156277,239,0,73.6,116548.0,110807.0,101722.0,23149.0,94.5,124302.0,78.5,117013.0,88.3,107576.0,89.9,24055.0,95.0,B,8.0,8.0,8.0,8.0,Metro,4.0,4.0,4.0,4.0,124299.0,84.2,116548.0,79.0,8.0,4.0,66391.0,65600.0,37717.0,20394.0,57.0,64.5,78.2,88.1,28538.0,129755.0,795660.0
2022-01-03,20220103,27053,Hennepin,MN,84027053,US,USA,840.0,45.00761521,0,1265843.0,1185711.0,1078507.0,989707.0,183653.0,206084,2179,156.0,142.17374881964116,0.0,18.405099150141645,1259428,2273,1,70.5,892068.0,855398.0,795812.0,170023.0,94.5,972090.0,76.8,923224.0,85.6,860551.0,87.0,179446.0,95.0,B,8.0,8.0,8.0,8.0,Metro,4.0,4.0,4.0,4.0,972046.0,82.0,892056.0,75.2,8.0,4.0,425516.0,421370.0,242453.0,130697.0,47.7,52.9,66.5,76.9,270877.0,994966.0,5859132.0
2022-01-03,20220103,27109,Olmsted,MN,84027109,US,USA,840.0,44.00374114,0,158293.0,147583.0,132534.0,119603.0,25236.0,25152,139,133.0,127.22677595628416,0.0,21.693989071038253,156277,239,1,73.6,116550.0,110809.0,101723.0,23149.0,94.5,124306.0,78.5,117017.0,88.3,107580.0,89.9,24055.0,95.0,B,8.0,8.0,8.0,8.0,Metro,4.0,4.0,4.0,4.0,124303.0,84.2,116550.0,79.0,8.0,4.0,66394.0,65603.0,37717.0,20394.0,57.0,64.5,78.2,88.1,27882.0,130411.0,826447.0
2022-01-04,20220104,27053,Hennepin,MN,84027053,US,USA,840.0,45.00761521,0,1265843.0,1185711.0,1078507.0,989707.0,183653.0,211920,2189,156.0,142.17374881964116,0.0,18.405099150141645,1259428,2273,1,70.6,893726.0,856314.0,796592.0,170077.0,94.6,974264.0,77.0,924717.0,85.7,861910.0,87.1,179528.0,95.0,B,8.0,8.0,8.0,8.0,Metro,4.0,4.0,4.0,4.0,974220.0,82.2,893714.0,75.4,8.0,4.0,435901.0,431026.0,246056.0,131717.0,48.8,54.1,67.4,77.4,282345.0,983498.0,5221921.0
2022-01-04,20220104,27109,Olmsted,MN,84027109,US,USA,840.0,44.00374114,0,158293.0,147583.0,132534.0,119603.0,25236.0,25308,142,133.0,127.22677595628416,0.0,21.693989071038253,156277,239,1,73.8,116834.0,110996.0,101889.0,23153.0,94.6,124601.0,78.7,117242.0,88.5,107785.0,90.1,24069.0,95.0,B,8.0,8.0,8.0,8.0,Metro,4.0,4.0,4.0,4.0,124597.0,84.4,116834.0,79.2,8.0,4.0,67414.0,66496.0,38033.0,20490.0,57.7,65.3,78.8,88.5,29200.0,129093.0,720801.0
