Admin2,census2019_average,census2019_5pluspop_average,census2019_12pluspop_average,census2019_18pluspop_average,census2019_65pluspop_average,Cases_average,Deaths_average,TempMedian_average,TempMean_average,PrcpMedian_average,PrcpMean_average,population_average,pop_density_average,mmwr_week_average,series_complete_pop_pct_average,series_complete_yes_average,series_complete_12plus_average,series_complete_18plus_average,series_complete_65plus_average,completeness_pct_average,administered_dose1_recip_average,administered_dose1_pop_pct_average,administered_dose1_recip_12plus_average,administered_dose1_recip_12pluspop_pct_average,administered_dose1_recip_18plus_average,administered_dose1_recip_18pluspop_pct_average,administered_dose1_recip_65plus_average,administered_dose1_recip_65pluspop_pct_average,series_complete_pop_pct_svi_average,series_complete_12pluspop_pct_svi_average,series_complete_18pluspop_pct_svi_average,series_complete_65pluspop_pct_svi_average,series_complete_pop_pct_ur_equity_average,series_complete_12pluspop_pct_ur_equity_average,series_complete_18pluspop_pct_ur_equity_average,series_complete_65pluspop_pct_ur_equity_average,administered_dose1_recip_5plus_average,administered_dose1_recip_5pluspop_pct_average,series_complete_5plus_average,series_complete_5pluspop_pct_average,series_complete_5pluspop_pct_svi_average,series_complete_5pluspop_pct_ur_equity_average,booster_doses_average,booster_doses_18plus_average,booster_doses_50plus_average,booster_doses_65plus_average,booster_doses_vax_pct_average,booster_doses_18plus_vax_pct_average,booster_doses_50plus_vax_pct_average,booster_doses_65plus_vax_pct_average,pop_stay_at_home_average,pop_not_stay_at_home_average,trips_average,census2019_median,census2019_5pluspop_median,census2019_12pluspop_median,census2019_18pluspop_median,census2019_65pluspop_median,Cases_median,Deaths_median,TempMedian_median,TempMean_median,PrcpMedian_median,PrcpMean_median,population_median,pop_density_median,mmwr_week_median,series_complete_pop_pct_median,series_complete_yes_median,series_complete_12plus_median,series_complete_18plus_median,series_complete_65plus_median,completeness_pct_median,administered_dose1_recip_median,administered_dose1_pop_pct_median,administered_dose1_recip_12plus_median,administered_dose1_recip_12pluspop_pct_median,administered_dose1_recip_18plus_median,administered_dose1_recip_18pluspop_pct_median,administered_dose1_recip_65plus_median,administered_dose1_recip_65pluspop_pct_median,series_complete_pop_pct_svi_median,series_complete_12pluspop_pct_svi_median,series_complete_18pluspop_pct_svi_median,series_complete_65pluspop_pct_svi_median,series_complete_pop_pct_ur_equity_median,series_complete_12pluspop_pct_ur_equity_median,series_complete_18pluspop_pct_ur_equity_median,series_complete_65pluspop_pct_ur_equity_median,administered_dose1_recip_5plus_median,administered_dose1_recip_5pluspop_pct_median,series_complete_5plus_median,series_complete_5pluspop_pct_median,series_complete_5pluspop_pct_svi_median,series_complete_5pluspop_pct_ur_equity_median,booster_doses_median,booster_doses_18plus_median,booster_doses_50plus_median,booster_doses_65plus_median,booster_doses_vax_pct_median,booster_doses_18plus_vax_pct_median,booster_doses_50plus_vax_pct_median,booster_doses_65plus_vax_pct_median,pop_stay_at_home_median,pop_not_stay_at_home_median,trips_median,census2019_var,census2019_5pluspop_var,census2019_12pluspop_var,census2019_18pluspop_var,census2019_65pluspop_var,Cases_var,Deaths_var,TempMedian_var,TempMean_var,PrcpMedian_var,PrcpMean_var,population_var,pop_density_var,mmwr_week_var,series_complete_pop_pct_var,series_complete_yes_var,series_complete_12plus_var,series_complete_18plus_var,series_complete_65plus_var,completeness_pct_var,administered_dose1_recip_var,administered_dose1_pop_pct_var,administered_dose1_recip_12plus_var,administered_dose1_recip_12pluspop_pct_var,administered_dose1_recip_18plus_var,administered_dose1_recip_18pluspop_pct_var,administered_dose1_recip_65plus_var,administered_dose1_recip_65pluspop_pct_var,series_complete_pop_pct_svi_var,series_complete_12pluspop_pct_svi_var,series_complete_18pluspop_pct_svi_var,series_complete_65pluspop_pct_svi_var,series_complete_pop_pct_ur_equity_var,series_complete_12pluspop_pct_ur_equity_var,series_complete_18pluspop_pct_ur_equity_var,series_complete_65pluspop_pct_ur_equity_var,administered_dose1_recip_5plus_var,administered_dose1_recip_5pluspop_pct_var,series_complete_5plus_var,series_complete_5pluspop_pct_var,series_complete_5pluspop_pct_svi_var,series_complete_5pluspop_pct_ur_equity_var,booster_doses_var,booster_doses_18plus_var,booster_doses_50plus_var,booster_doses_65plus_var,booster_doses_vax_pct_var,booster_doses_18plus_vax_pct_var,booster_doses_50plus_vax_pct_var,booster_doses_65plus_vax_pct_var,pop_stay_at_home_var,pop_not_stay_at_home_var,trips_var
Hennepin,1265843.0,1185711.0,1078507.0,989707.0,183653.0,206352.5,2181.5,156.0,142.17374881964116,0.0,18.405099150141645,1259428.0,2273.0,0.5,70.525,892475.0,855619.5,796000.0,170036.0,94.525,972598.5,76.85,923562.75,85.625,860857.25,86.975,179463.5,95.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,972554.5,82.05,892463.0,75.25,8.0,4.0,428097.75,423770.0,243350.25,130951.0,47.975,53.2,66.725,77.025,278363.0,987480.0,5449725.75,1265843.0,1185711.0,1078507.0,989707.0,183653.0,204893.5,2179.0,156.0,142.17374881964116,0.0,18.405099150141645,1259428.0,2273.0,0.5,70.5,892060.5,855390.5,795805.0,170022.5,94.5,972055.0,76.8,923189.5,85.6,860517.5,86.95,179443.0,95.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,972011.0,82.0,892048.5,75.2,8.0,4.0,425501.5,421356.0,242449.5,130696.0,47.7,52.9,66.5,76.9,279643.0,986200.0,5408332.5,0.0,0.0,0.0,0.0,0.0,15036283.000000024,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0024999999999994788,695606.0,214419.0,155805.33333334117,747.3333333331975,0.0024999999999994788,1233928.9999999776,0.01000000000000052,593188.25,0.002500000000000308,493567.5833333189,0.00916666666666602,1857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1233928.9999999776,0.01000000000000052,695606.0,0.01000000000000052,0.0,0.0,27062724.916666616,23399968.00000005,3253825.5833333246,260781.3333333321,0.3024999999999969,0.3600000000000003,0.20250000000000468,0.0625,32728026.666666698,32728026.666666597,115739745194.91663
Olmsted,158293.0,147583.0,132534.0,119603.0,25236.0,25148.5,139.75,133.0,127.22677595628416,0.0,21.693989071038253,156277.0,239.0,0.5,73.64999999999999,116620.0,110854.75,101764.0,23150.0,94.525,124377.75,78.55,117071.25,88.35,107629.25,89.95,24058.5,95.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,124374.5,84.25,116620.0,79.05,8.0,4.0,66647.5,65824.75,37796.0,20418.0,57.175,64.7,78.35,88.19999999999999,28738.75,129554.25,765009.25,158293.0,147583.0,132534.0,119603.0,25236.0,25109.5,139.0,133.0,127.22677595628416,0.0,21.693989071038253,156277.0,239.0,0.5,73.6,116549.0,110808.0,101722.5,23149.0,94.5,124304.0,78.5,117015.0,88.3,107578.0,89.9,24055.0,95.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,124301.0,84.2,116549.0,79.0,8.0,4.0,66392.5,65601.5,37717.0,20394.0,57.0,64.5,78.2,88.1,28869.0,129424.0,758230.5,0.0,0.0,0.0,0.0,0.0,12912.33333333343,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.01000000000000052,20354.66666666632,8868.249999999769,6944.666666666871,4.0,0.0024999999999994788,22154.916666667035,0.01000000000000052,12961.583333333614,0.01000000000000052,10784.916666666924,0.009999999999998862,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22006.333333333703,0.01000000000000052,20354.66666666632,0.01000000000000052,0.0,0.0,261123.0,200258.25,24964.0,2304.0,0.12250000000000183,0.15999999999999792,0.0899999999999997,0.04000000000000208,447528.9166666667,447528.9166666667,2986984436.25
