,State,Cases,Deaths,state_code,pop_stay_at_home,pop_not_stay_at_home,trips,TempMedian,TempMean,PrcpMedian,PrcpMean,state,population,pop_density
36,OR,139355,1882,OR,1000043.2006033183,3183616.435897436,15739480.930618402,156.0,159.35337310692978,0,27.51115764111978,OR,4190713,43.658853835
37,PA,816761,20593,PA,2883526.850678733,9901982.73453997,45980562.23831071,178.0,172.34785359452619,0,29.644624613365828,PA,12807060,286.23455445
38,RI,97202,2010,RI,227653.4012066365,827882.2926093515,3982523.773755656,178.0,174.87864873729092,0,29.575270580518204,RI,1057315,1022.6505771
39,SC,423667,6552,SC,934453.8853695324,4141115.7088989443,18226196.7586727,250.0,239.64584594430997,0,45.04721549636804,SC,5084127,169.11117582
40,SD,105349,1664,SD,185057.74509803922,695690.8295625943,3302795.161387632,172.0,156.707064933774,0,11.824109738823587,SD,882235,11.637449389
41,TN,669416,8704,TN,1322452.423831071,5436166.052790347,24774007.00301659,222.0,214.42259564675427,0,47.60262249496596,TN,6770010,164.17412699
42,TX,2288939,35039,TX,5299137.515837104,23354407.46907994,96435468.10558069,211.0,193.6163339886529,0,23.10652485786649,TX,28701845,109.86046804
43,UT,257047,1122,UT,704357.2187028658,2451427.479638009,12690984.150829563,132.0,136.77482919513417,0,11.082402932844525,UT,3161105,38.458214685
44,VA,349115,4521,VA,1734412.7435897435,6768942.015082956,32545367.87631976,217.0,217.18377371273712,0,40.15735094850948,VA,8517685,215.73630393
45,VT,11274,171,VT,142269.39215686274,482975.34690799395,2320052.202111614,150.0,147.91562799616491,0,24.73058485139022,VT,626299,67.943995144
46,WA,302040,4144,WA,1650702.4660633483,5872209.325791855,27737498.7586727,111.0,122.03874455198958,0,45.63788419086433,WA,7535591,113.39722716
47,WI,576565,6157,WI,1196060.052790347,4607726.167420815,21234329.01659125,150.0,145.63173834039975,0,24.88688673531193,WI,5813568,107.32815663
48,WV,116978,1899,WV,412868.4751131222,1389923.5098039217,6214010.334841629,193.0,187.00704567541302,0,32.42565597667638,WV,1805832,75.11398785
49,WY,51152,571,WY,135362.27450980392,441401.9426847662,2423866.0150829563,101.0,107.43593378085636,0,15.994437164023427,WY,577737,5.9506106574
